state,district,district_code,population_2011,literacy_rate_pct,rural_households,urban_households,estimated_diabetic_population,estimated_annual_screening_demand,estimated_screening_capacity,capacity_gap,priority_score,priority,screening_capacity_utilization_pct
MAHARASHTRA,Thane,517,11060148,74.38563209099914,713994,2904157,884812,530887,442406,88481,100.0,Critical,120.0
WEST BENGAL,North Twenty Four Parganas,337,10009781,76.0125820934544,1209337,1649803,800782,480469,400391,80078,90.5,Critical,120.0
KARNATAKA,Bangalore,572,9621551,78.07759892349996,300576,2967384,769724,461834,384862,76972,87.0,Critical,120.0
MAHARASHTRA,Pune,521,9429408,76.05698045943076,1165718,2056739,754353,452612,377176,75436,85.3,Critical,120.0
MAHARASHTRA,Mumbai Suburban,518,9356962,80.96094651234023,0,3078829,748557,449134,374278,74856,84.6,Critical,120.0
WEST BENGAL,South Twenty Four Parganas,343,8161961,67.77362695068011,1568802,611430,652957,391774,326478,65296,73.8,High,120.0
WEST BENGAL,Barddhaman,335,7717563,67.99047834141425,1364868,862368,617405,370443,308703,61740,69.8,High,120.0
GUJARAT,Ahmadabad,474,7214225,75.34780243200066,353169,1845383,577138,346283,288569,57714,65.2,High,120.0
WEST BENGAL,Murshidabad,333,7103807,57.09380899565543,1501066,350899,568305,340983,284152,56831,64.2,High,120.0
RAJASTHAN,Jaipur,110,6626178,64.90868491610095,754841,977838,530094,318056,265047,53009,59.9,High,120.0
MAHARASHTRA,Nashik,516,6107187,71.15167752354725,904661,764271,488575,293145,244287,48858,55.2,High,120.0
GUJARAT,Surat,492,6081322,75.17131965714033,369840,1529998,486506,291904,243253,48651,55.0,High,120.0
UTTAR PRADESH,Allahabad,175,5954391,61.56342437035123,983266,265304,476351,285811,238176,47635,53.8,High,120.0
WEST BENGAL,Paschim Medinipur,344,5913457,68.96832089926417,1364335,201048,473077,283846,236538,47308,53.5,High,120.0
BIHAR,Patna,230,5838465,59.25665393215511,657991,552103,467077,280246,233539,46707,52.8,High,120.0
WEST BENGAL,Hugli,338,5519145,73.89528631699294,992085,647953,441532,264919,220766,44153,49.9,Moderate,120.0
ANDHRA PRADESH,Rangareddy,537,5296741,66.79631871749062,432098,1129224,423739,254243,211870,42373,47.9,Moderate,120.0
WEST BENGAL,Nadia,336,5167600,67.35341357690223,1081381,468390,413408,248045,206704,41341,46.7,Moderate,120.0
ANDHRA PRADESH,East Godavari,545,5154296,63.80264152466215,1199479,406362,412344,247406,206172,41234,46.6,Moderate,120.0
BIHAR,Purba Champaran,204,5099371,44.65172273207813,1142260,101565,407950,244770,203975,40795,46.1,Moderate,120.0
WEST BENGAL,Purba Medinipur,345,5095875,76.98764196531508,1193006,170707,407670,244602,203835,40767,46.1,Moderate,120.0
ANDHRA PRADESH,Guntur,548,4887813,60.56780404651324,1069877,513113,391025,234615,195513,39102,44.2,Moderate,120.0
WEST BENGAL,Haora,341,4850029,74.33369986035136,483384,869313,388002,232801,194001,38800,43.9,Moderate,120.0
BIHAR,Muzaffarpur,216,4801062,52.264103233826184,998694,120700,384085,230451,192042,38409,43.4,Moderate,120.0
KARNATAKA,Belgaum,555,4779661,63.85457043920061,962777,356198,382373,229424,191186,38238,43.2,Moderate,120.0
UTTAR PRADESH,Moradabad,135,4772006,47.44017505426439,692398,355518,381760,229056,190880,38176,43.1,Moderate,120.0
UTTAR PRADESH,Ghaziabad,140,4681645,66.71296093573946,355407,836316,374532,224719,187266,37453,42.3,Moderate,120.0
MAHARASHTRA,Nagpur,505,4653570,78.94601349071789,430844,877522,372286,223372,186143,37229,42.1,Moderate,120.0
